Work Item,Person,Start,Duration
1181-ROS QSPI FT,sammkoli,8/16/2021 10:39:16 AM,0:15:32
1181-ROS QSPI FT,sammkoli,8/16/2021 11:04:13 AM,0:06:37
1181-ROS QSPI FT,sammkoli,8/16/2021 11:46:47 AM,0:02:00
1181-ROS QSPI FT,sammkoli,8/16/2021 1:21:53 PM,0:18:21
1181-ROS QSPI FT,sammkoli,8/16/2021 1:55:53 PM,0:06:34
1181-ROS QSPI FT,sammkoli,8/16/2021 2:04:54 PM,0:00:18
1181-ROS QSPI FT,sammkoli,8/16/2021 2:06:48 PM,0:54:45
1181-ROS QSPI FT,sammkoli,8/16/2021 3:53:31 PM,0:07:52
1181-ROS QSPI FT,sammkoli,8/16/2021 4:02:29 PM,0:07:58
1181-ROS QSPI FT,sammkoli,8/16/2021 4:12:14 PM,0:25:35
1181-ROS QSPI FT,sammkoli,8/16/2021 4:40:38 PM,0:02:58
1181-ROS QSPI FT,sammkoli,8/16/2021 4:44:45 PM,0:05:40
1181-ROS QSPI FT,sammkoli,8/16/2021 5:11:58 PM,0:29:14
1181-ROS QSPI FT,sammkoli,8/16/2021 5:49:47 PM,0:01:37
1181-ROS QSPI FT,sammkoli,8/16/2021 5:53:57 PM,0:00:02
1181-ROS QSPI FT,sammkoli,8/17/2021 8:53:19 AM,0:17:46
1181-ROS QSPI FT,sammkoli,8/17/2021 9:18:24 AM,0:00:04
1181-ROS QSPI FT,sammkoli,8/17/2021 9:19:34 AM,0:01:10
1181-ROS QSPI FT,sammkoli,8/17/2021 9:25:15 AM,0:00:02
1181-ROS QSPI FT,sammkoli,8/17/2021 9:41:26 AM,0:17:38
1181-ROS QSPI FT,sammkoli,8/17/2021 10:14:39 AM,0:02:10
1181-ROS QSPI FT,sammkoli,8/17/2021 10:25:39 AM,0:01:24
1181-ROS QSPI FT,sammkoli,8/17/2021 10:28:14 AM,0:01:19
1181-ROS QSPI FT,sammkoli,8/17/2021 10:38:04 AM,0:07:16
1181-ROS QSPI FT,sammkoli,8/17/2021 10:46:52 AM,0:00:20
1181-ROS QSPI FT,sammkoli,8/17/2021 10:51:05 AM,0:31:46
1181-ROS QSPI FT,sammkoli,8/17/2021 11:25:14 AM,0:06:54
1181-ROS QSPI FT,sammkoli,8/17/2021 1:31:47 PM,0:01:48
1181-ROS QSPI FT,sammkoli,8/17/2021 1:35:03 PM,0:16:13
1181-ROS QSPI FT,sammkoli,8/17/2021 1:52:27 PM,0:20:31
1181-ROS QSPI FT,sammkoli,8/17/2021 2:18:27 PM,0:11:38
1181-ROS QSPI FT,sammkoli,8/17/2021 2:55:32 PM,0:03:31
1181-ROS QSPI FT,sammkoli,8/17/2021 3:02:32 PM,0:00:02
1181-ROS QSPI FT,sammkoli,8/17/2021 3:06:04 PM,0:15:19
1181-ROS QSPI FT,sammkoli,8/17/2021 3:43:40 PM,0:07:31
