Work Item,Start,Duration
1147-ROS Scheduler and thread FT,8/2/2021 8:58:02 AM,0:11:21
1147-ROS Scheduler and thread FT,8/2/2021 9:31:34 AM,0:01:19
1147-ROS Scheduler and thread FT,8/2/2021 9:42:07 AM,0:08:21
1147-ROS Scheduler and thread FT,8/2/2021 9:51:38 AM,0:00:03
1147-ROS Scheduler and thread FT,8/2/2021 9:52:58 AM,0:12:32
1147-ROS Scheduler and thread FT,8/2/2021 10:36:42 AM,0:02:58
1147-ROS Scheduler and thread FT,8/2/2021 10:43:49 AM,0:17:05
1147-ROS Scheduler and thread FT,8/2/2021 11:07:24 AM,0:10:06
1147-ROS Scheduler and thread FT,8/2/2021 11:19:37 AM,0:01:02
1147-ROS Scheduler and thread FT,8/2/2021 11:24:31 AM,0:07:27
1147-ROS Scheduler and thread FT,8/2/2021 3:50:18 PM,0:24:33
1147-ROS Scheduler and thread FT,8/2/2021 4:16:23 PM,0:14:12
1147-ROS Scheduler and thread FT,8/2/2021 4:38:50 PM,0:08:53
1147-ROS Scheduler and thread FT,8/2/2021 4:48:50 PM,0:00:03
1147-ROS Scheduler and thread FT,8/3/2021 10:26:51 AM,0:07:06
1147-ROS Scheduler and thread FT,8/3/2021 10:36:08 AM,0:00:03
1152-ROS Semaphores FT,8/3/2021 1:12:54 PM,0:00:03
1152-ROS Semaphores FT,8/3/2021 1:14:00 PM,0:29:58
1152-ROS Semaphores FT,8/3/2021 3:48:18 PM,0:00:08
1152-ROS Semaphores FT,8/3/2021 3:56:33 PM,0:00:09
1152-ROS Semaphores FT,8/3/2021 4:16:06 PM,0:19:17
1152-ROS Semaphores FT,8/3/2021 4:36:49 PM,0:00:16
1152-ROS Semaphores FT,8/3/2021 4:50:44 PM,0:03:38
1152-ROS Semaphores FT,8/3/2021 4:55:24 PM,0:00:39
1152-ROS Semaphores FT,8/3/2021 5:15:49 PM,0:06:23
1152-ROS Semaphores FT,8/3/2021 5:24:42 PM,0:16:29
1152-ROS Semaphores FT,8/4/2021 8:57:50 AM,0:00:02
1152-ROS Semaphores FT,8/4/2021 8:59:08 AM,0:03:51
1152-ROS Semaphores FT,8/4/2021 9:06:12 AM,0:05:05
1152-ROS Semaphores FT,8/4/2021 9:13:32 AM,0:01:43
1152-ROS Semaphores FT,8/4/2021 9:39:47 AM,0:23:38
1152-ROS Semaphores FT,8/4/2021 10:05:10 AM,0:08:29
1152-ROS Semaphores FT,8/4/2021 10:18:00 AM,0:00:03
1152-ROS Semaphores FT,8/4/2021 10:20:25 AM,0:08:38
1152-ROS Semaphores FT,8/4/2021 10:30:51 AM,0:32:34
1152-ROS Semaphores FT,8/4/2021 11:05:28 AM,0:00:49
1152-ROS Semaphores FT,8/4/2021 11:12:18 AM,0:22:07
1152-ROS Semaphores FT,8/4/2021 1:04:40 PM,0:02:35
1152-ROS Semaphores FT,8/4/2021 1:08:56 PM,0:00:47
